dealer_code,dealer_city,part_code,description,abc_class,supplier,unit_cost_inr,current_stock,unit,eoq,safety_stock,reorder_point,max_stock,lead_time_days,avg_daily_demand,demand_std_daily,avg_qty_90d,days_of_supply,stockout_prob,stock_status,last_restocked,last_sold,is_slow_mover,inventory_value_inr,service_types
DL001,New Delhi,OIL-5W30-4L,Engine Oil 5W-30 (4L),A,Castrol India,855,3,qty,13,1,1,14,2,0.08,0.1095,11,25,0.0,OK,2026-04-04,2026-06-24,False,2565,"OIL_CHANGE,FULL_SERVICE"
DL001,New Delhi,OIL-FILTER-MG,Oil Filter — MG OEM,A,MG OEM Direct,183,3,qty,28,1,1,29,3,0.08,0.1095,6,45,0.0,OK,2025-07-11,2026-06-01,False,549,"OIL_CHANGE,FULL_SERVICE"
DL001,New Delhi,BR-PAD-F-MG,Brake Pads Front — MG OEM,A,MG OEM Direct,2800,3,qty,4,1,1,5,5,0.02,0.0548,2,135,0.0,OK,2026-04-07,2026-05-29,False,8400,"BRAKE_CHECK,FULL_SERVICE"
DL001,New Delhi,BR-PAD-R-MG,Brake Pads Rear — MG OEM,A,MG OEM Direct,2200,2,qty,4,1,1,5,5,0.0171,0.0548,2,90,0.0,OK,2025-12-02,2026-06-10,False,4400,"BRAKE_CHECK,FULL_SERVICE"
DL001,New Delhi,BR-FLUID-DOT4,Brake Fluid DOT 4 (500ml),B,TotalEnergies,380,6,qty,7,1,1,8,3,0.01,0.0548,3,180,0.0,OK,2026-05-26,2026-06-11,False,2280,"BRAKE_CHECK,FULL_SERVICE"
DL001,New Delhi,TYRE-215-60-17,Tyre 215/60 R17,B,MRF,6500,2,qty,4,1,1,5,7,0.048,0.0657,5,36,0.0,OK,2026-05-20,2026-06-17,False,13000,"TYRE_ROTATION,FULL_SERVICE"
DL001,New Delhi,TYRE-225-55-18,Tyre 225/55 R18,B,Apollo Tyres,7800,3,qty,3,1,1,4,7,0.048,0.0657,6,45,0.0,OK,2026-06-19,2026-06-18,False,23400,"TYRE_ROTATION,FULL_SERVICE"
DL001,New Delhi,BATT-12V-60AH,12V Battery 60Ah,A,Amaron,4500,3,qty,3,1,1,4,3,0.016,0.0548,4,68,0.0,OK,2026-05-02,2026-05-11,False,13500,12V_BATTERY_REPLACE
DL001,New Delhi,BATT-12V-70AH,12V Battery 70Ah,A,Exide,5200,3,qty,2,1,1,3,3,0.012,0.0548,1,270,0.0,OK,2026-06-13,2026-06-10,True,15600,12V_BATTERY_REPLACE
DL001,New Delhi,COOLANT-1L,Engine Coolant (1L),B,MG OEM Direct,350,2,qty,12,1,1,13,3,0.03,0.0548,7,26,0.0,OK,2026-02-10,2026-06-16,False,700,"COOLANT_FLUSH,FULL_SERVICE"
